channel1,,,,,,,,channel 2,,,,,,,,channel 3,,,,,,,,channel 4,,,,,,,,channel 5,,,,,,,,channel 6,,,,,,,,channel 7,,,,,,,,channel 8,,,,,,,,,,,,,,
mx_peak,mean,peak_ratio,median,integral,mean moobility,mean_complexity,activity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,mx_peak,mean,peak_ratio,median,integral,activity,mean_mobility,mean_complexity,Gesture,1,2,3,4,5,6
0.015373909,0.008520837,0.072514048,0.368541556,0.374168797,1.058250448,0.95603518,8.17E-06,0.076033213,0.041923903,0.980770061,1.914848741,1.840764938,1.126116921,1.140564028,0.000164658,0.076829878,0.041436641,1,1.852099275,1.819187351,0.964521509,1.212109249,0.000206646,0.092377611,0.014625923,0.342197667,0.628750106,0.641558551,0.924587069,0.757890343,6.95E-05,0.038971182,0.017801171,0.340593288,0.771217689,0.781620695,0.984607455,1.102810128,4.43E-05,0.137592325,0.029441837,0.238529936,1.145506643,1.291930295,0.757204284,0.831640227,0.0003515,0.026001222,0.014726388,0.217795062,0.690521649,0.646748024,1.133606459,1.036644742,1.83E-05,0.022704208,0.013755793,0.262425364,0.628514341,0.60402135,1.051105855,0.962306103,1.76E-05,1,1,0,0,0,0,0
0.756003442,0.213695898,0.296053889,0.921753728,0.92869656,0.795771885,0.934958162,0.020740198,0.654017912,0.220770561,0.26016616,0.914043368,0.959341795,0.931353476,0.899508518,0.014963751,0.460814721,0.163854718,0.153958384,0.700815231,0.71195217,1.119526389,1.018497995,0.005677786,0.440524104,0.184399367,0.260070262,0.832787689,0.801283156,1.047585143,0.97959299,0.008990262,0.263866401,0.107472485,0.130830586,0.502182157,0.466950865,1.257813726,0.999121962,0.002017518,0.705230533,0.244789684,0.672455222,1.045648113,1.063623966,0.962117337,1.014491836,0.018362423,0.937887953,0.288969573,1,1.194581992,1.255790605,0.945961179,1.077502912,0.028024195,0.918137033,0.417025259,0.376875651,1.888187722,1.812360883,0.939870864,1.076325625,0.053131697,2,0,1,0,0,0,0
1,0.298434315,1,1.697208309,1.513131861,0.90705416,1.0289925,0.059502191,1,0.263349858,0.485225133,1.272967222,1.335185943,0.907311758,0.948773039,0.047172752,0.279580335,0.098862206,0.108056621,0.511611292,0.501186895,1.118750183,1.048791656,0.003324371,0.267924137,0.085506015,0.157498646,0.475758089,0.433510129,1.088046149,0.941748265,0.003841501,0.580275396,0.173690077,0.431907217,0.823941064,0.880615844,1.041818383,0.902695011,0.019832917,0.576733186,0.166549405,0.180875974,0.818642935,0.844398294,1.023144711,1.052715176,0.013128418,0.816545915,0.227675613,0.336938485,1.058537987,1.154357078,0.966105674,1.025786244,0.035972137,1,0.263820088,0.572649498,1.341333102,1.337613956,0.947768983,1.050498109,0.050168354,3,0,0,1,0,0,0
0.513535254,0.068889216,0.046277115,0.276452459,0.316602776,1.037116812,0.754787972,0.005166946,0.595113787,0.194414346,0.341818722,0.837311904,0.893476491,1.09693714,1.011809637,0.017805863,0.80140239,0.22246255,0.576429248,0.818208677,1.022379238,0.959284895,1.013524473,0.030430038,1,0.290221195,1,1.529104256,1.333837162,0.949261774,1.060418521,0.05012731,0.972614416,0.305744576,0.886818048,1.679713557,1.405182702,0.924097782,1.079697592,0.060674258,1,0.24619291,0.564419685,1.031470363,1.131466157,0.945484279,1.015142349,0.046716559,0.613765094,0.194415276,0.289544346,0.80195901,0.893481109,1.042374041,1.041043019,0.021478906,0.696651819,0.218367914,0.202559915,1.025779774,1.003574365,1.045443277,1.023576437,0.0263249,4,0,0,0,1,0,0
0.249319582,0.080643268,0.192366226,0.418745411,0.435914247,0.915106155,1.003589656,0.003593072,0.742522846,0.229459249,0.737386961,1.184181788,1.240353789,0.961280418,1.096457085,0.025615574,0.971140473,0.267241923,1,1.310929832,1.444586336,0.92194898,0.96565231,0.040545809,0.894163026,0.341040963,0.888037105,2.022991704,1.843522761,0.825743387,0.981589548,0.052794245,0.870804631,0.244513522,0.47695223,1.278691655,1.321715175,0.882141675,0.996751939,0.029955078,0.491744416,0.157654101,0.304695577,0.874509047,0.852194025,0.915178216,1.014972182,0.010700247,0.218370735,0.091429628,0.122777201,0.532991431,0.494220192,1.274959288,0.932050631,0.002260941,0.168049182,0.067990268,0.099460592,0.376959132,0.367493475,1.30364188,1.008936649,0.001027697,5,0,0,0,0,1,0
0.925526307,0.253778004,0.466365586,1.304620461,1.248472643,0.862340541,0.855153571,0.048156893,0.764823022,0.220666449,0.771214465,1.084321561,1.085511876,0.991125804,0.998518074,0.026320282,0.416187539,0.113299877,0.274952287,0.473517803,0.557303131,1.158600728,0.900081207,0.006828133,0.356397003,0.102225863,0.360735255,0.491222007,0.502873082,1.070230723,1.063493557,0.004475133,0.536172562,0.194094389,0.54574721,0.991758943,0.954828101,1.059632674,1.014931192,0.019299524,0.600913691,0.206364297,0.455893183,1.066064669,1.015182579,1.033884286,1.052185596,0.022801992,0.978726634,0.230168098,1,0.847695926,1.132320361,0.888874463,0.975299525,0.048378948,0.920295489,0.305620572,0.850763024,1.740798628,1.503508228,0.93531078,1.140337278,0.056221065,6,0,0,0,0,0,1
0.016577252,0.007738337,0.087833695,0.373677855,0.370372497,0.970389366,0.969378182,8.11E-06,0.079223054,0.041307232,0.642580299,2.018336047,1.977159986,1.083659804,1.056994108,0.000181557,0.107550612,0.039479361,1,1.90989001,1.889700966,0.919347738,0.929522745,0.000282774,0.029060884,0.013867341,0.25622432,0.699412526,0.663700836,1.060340632,1.022005754,2.11E-05,0.03766075,0.016157894,0.125497651,0.739278576,0.773236154,0.976794671,0.949923877,4.01E-05,0.055239697,0.023106683,0.19696826,1.013041437,1.106004311,0.930264655,0.994927038,0.000104462,0.024554764,0.012765355,0.208157265,0.60132077,0.610975483,1.06513357,1.034801296,1.79E-05,0.022728884,0.012721579,0.076639812,0.64504278,0.608849767,0.994069565,1.042446999,1.97E-05,1,1,0,0,0,0,0
0.666694794,0.248625095,0.334561405,1.553458159,1.343553998,1.010795638,1.223091311,0.038736623,0.851089613,0.270601029,0.765160634,1.534825999,1.462285075,0.983410344,1.130168173,0.041887802,0.279444526,0.093687631,0.115494258,0.465420554,0.506237085,1.24266868,0.888264548,0.002835987,0.269206721,0.079312973,0.116028829,0.399017429,0.428580779,1.091706503,0.869757606,0.003015736,0.516568046,0.151243817,0.281604822,0.74132505,0.817295574,0.877552819,0.953716889,0.014632852,0.525193951,0.178747227,0.264537347,0.862342308,0.965925888,0.941141887,0.886996593,0.017556103,0.839410328,0.213106269,0.805512453,1.076783871,1.151630042,0.904033872,0.98084685,0.039524459,0.894015597,0.245095465,1,1.36682663,1.324491559,0.948690259,1.067158031,0.043280887,2,0,1,0,0,0,0
0.187047038,0.0389561,0.101312434,0.168933142,0.195393674,0.983129893,0.97767336,0.001070672,0.884088034,0.162262424,0.438050385,0.701848059,0.813861103,0.956554798,0.91785511,0.021257191,0.926263033,0.194098728,0.668820834,0.796839114,0.973535555,0.90842519,0.856164791,0.030675205,0.731868166,0.236736039,0.609071399,1.20850856,1.187447829,1.075699554,1.12214679,0.035480464,1,0.302011962,1,1.637744513,1.514862489,1.107991895,1.04130705,0.051516458,0.933267474,0.269042352,0.925100998,1.363117358,1.349483911,0.976989645,1.007091774,0.043892925,0.54208792,0.18431889,0.271182004,0.981480984,0.924521746,1.013336036,0.998060043,0.019254127,0.607261166,0.207518139,0.341665477,1.141528272,1.040893693,0.977872988,1.079701082,0.025236991,3,0,0,1,0,0,0
0.340700011,0.072182799,0.123327803,0.411665036,0.413401678,1.021502683,0.883412787,0.003886323,0.777188254,0.238136072,0.691118235,1.429845034,1.363802195,1.052432108,0.819595661,0.02990909,1,0.288232577,1,1.679091394,1.650733318,0.949289233,1.030154014,0.044062653,0.831497484,0.283803161,0.673294021,1.691161031,1.625378073,0.94418836,1.065673714,0.041286641,0.639438599,0.242353817,0.47085442,1.325218527,1.387915925,0.979221529,0.978609903,0.027570147,0.40748257,0.15197736,0.406828138,0.789863305,0.870359302,1.080279337,1.095590111,0.00919153,0.184229622,0.068206855,0.166770148,0.388216884,0.390613342,1.009629838,1.106911177,0.002155463,0.168123703,0.051998263,0.167337078,0.284938789,0.297796167,0.963456913,1.020052632,0.001327016,4,0,0,0,1,0,0
