mx_peak,,,,,,,,mean,,,,,,,,peak_ratio,,,,,,,,median,,,,,,,,integral,,,,,,,,activity,,,,,,,,mean mobility,,,,,,,,mean complexity,,,,,,,,
Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Gesture
0.037552119,0.021400995,0.0598579,0.69649759,0.643167785,57.45539788,0.676443436,0.676443436,0.045930831,0.024775375,0.090422018,0.807814407,0.744569815,35.74862675,0.722387724,0.722387724,0.416974784,0.138229644,1,3.997786352,4.15451773,71.2499744,0.631505689,0.631505689,0.057988232,0.017722459,0.062229391,0.533455026,0.53246657,38.69089657,0.677356295,0.677356295,0.026606649,0.010609151,0.019966338,0.328472988,0.318809732,28.78875554,0.687160448,0.687160448,0.039624179,0.010315229,0.025150404,0.324450507,0.309896472,36.01668881,0.625055012,0.625055012,0.037172587,0.019689809,0.056344988,0.627311634,0.59173821,45.49735941,0.670609008,0.670609008,0.055630073,0.023453673,0.068959832,0.684211496,0.704833687,62.44159665,0.727772442,0.727772442,1
0.588928664,0.157046055,0.467667184,0.984250144,1.046592346,45.31772944,0.725813248,0.725813248,0.178039709,0.050161754,0.152284114,0.311579721,0.334245217,25.08010352,0.649356516,0.649356516,1,0.208158444,1,1.152450516,1.386993774,40.78021536,0.645393381,0.645393381,1,0.179835933,0.600101456,1.213936993,1.198395779,18.19458205,0.677717959,0.677717959,0.33933778,0.102837338,0.14526714,0.785489121,0.685294276,19.40268106,0.740397661,0.740397661,0.309154316,0.114235176,0.236603888,0.863084795,0.76120207,22.51283184,0.688533924,0.688533924,1,0.23980873,0.975342422,1.65012627,1.598208712,35.5583052,0.662289112,0.662289112,0.620282416,0.148411443,0.382056981,1.03908244,0.989067824,45.71800879,0.729494383,0.729494383,2
0.699467897,0.171323955,0.167300549,1.409204401,1.22231394,47.47283476,0.612862818,0.612862818,0.732347091,0.199074133,0.15949134,1.441444488,1.420307295,186.4218953,0.642177733,0.642177733,0.605186306,0.157353835,0.348234047,1.157762998,1.122550326,58.05774508,0.666878078,0.666878078,0.646871461,0.085018089,0.245077154,0.400203956,0.606555692,19.74652162,0.607058755,0.607058755,0.757591815,0.112211002,0.536245322,0.681928422,0.800585983,33.12346668,0.621845891,0.621845891,0.826968914,0.152298795,1,1.001274986,1.086598837,39.12823149,0.59558624,0.59558624,0.57072813,0.13736223,0.422720631,1.09474074,0.980020413,28.62048392,0.560445697,0.560445697,0.420896929,0.106675881,0.303037592,0.813440008,0.761067514,44.48662913,0.598878356,0.598878356,3
0.296098421,0.074703829,0.223416818,0.4394379,0.465025681,20.95858699,0.668873928,0.668873928,0.277369071,0.062896076,0.185384614,0.388787166,0.391530404,10.90134169,0.671380463,0.671380463,0.595234955,0.199367187,0.401145875,1.242925587,1.241013877,66.69163742,0.721328138,0.721328138,0.628519861,0.190523154,0.493926146,1.211472637,1.186084862,31.31688165,0.735738378,0.735738378,1,0.263960445,1,1.749094034,1.643272205,34.35421894,0.638732396,0.638732396,0.935894851,0.251383206,0.711540725,1.709601936,1.564949846,30.24956679,0.725728617,0.725728617,0.714592847,0.141963249,0.444672415,0.743479782,0.883755943,42.72014171,0.609337374,0.609337374,0.568611706,0.100296464,0.398959732,0.515200956,0.624367183,55.64061197,0.633506898,0.633506898,4
0.549802721,0.112072299,0.48221301,0.519665033,0.935716171,43.81197958,0.834895365,0.834895365,0.297287944,0.065454626,0.236039777,0.451466719,0.546489804,10.73191178,0.758776343,0.758776343,0.934551102,0.205428532,1,1.578017736,1.715049158,214.9653955,0.701034604,0.701034604,0.617508023,0.153857272,0.609572926,1.223597462,1.284613055,150.1079427,0.799522914,0.799522914,0.565982979,0.176295282,0.348516375,1.900932758,1.471983278,74.92969231,0.751364815,0.751364815,0.289258461,0.102441782,0.101751176,1.015673669,0.85532107,32.88186675,0.698661114,0.698661114,0.262258155,0.074816679,0.160605226,0.726056554,0.62463097,35.69138371,0.677662173,0.677662173,0.239233933,0.067819034,0.131091042,0.584590069,0.566196493,50.90250605,0.73535931,0.73535931,5
0.249259941,0.060226798,0.066738162,0.404103108,0.456708362,28.51028234,0.623133164,0.623133164,0.107415546,0.03877026,0.02607312,0.297604137,0.29398592,11.23503892,0.632525579,0.632525579,0.530921772,0.147948506,0.169498332,1.173101475,1.121825076,44.18014337,0.641508017,0.641508017,0.115254087,0.044470811,0.092671456,0.330325594,0.337231454,4.756493172,0.787333229,0.787333229,0.532169578,0.127465902,0.338225437,0.932906813,0.966645247,10.12479977,0.684688839,0.684688839,1,0.217354485,1,1.606910547,1.648328749,19.42102765,0.699149739,0.699149739,0.622145229,0.120757893,0.551920935,0.8672267,0.915748259,28.40169259,0.719349868,0.719349868,1,0.29795172,0.437352191,2.387821626,2.259526933,140.7341709,0.683956979,0.683956979,6
0.049397487,0.025586657,0.06539715,0.675492226,0.648266329,15.7891042,0.697880335,0.697880335,0.074126716,0.03357025,0.0790851,0.866707265,0.850674045,16.56994834,0.666318882,0.666318882,0.383071855,0.160634675,1,4.007781813,4.070460693,55.80570724,0.579026456,0.579026456,0.062301873,0.02243303,0.030092434,0.583917905,0.568425137,3.190366047,0.65418005,0.65418005,0.026000931,0.010966989,0.017968763,0.27662595,0.277907006,0.881801664,0.69257806,0.69257806,0.031630739,0.013084917,0.019656611,0.327788935,0.331550704,1.186865377,0.577389266,0.577389266,0.047429558,0.022978312,0.116922381,0.58748159,0.582242023,5.992021533,0.602926146,0.602926146,0.052584607,0.026460149,0.050269102,0.674204316,0.670474062,12.38040249,0.634897979,0.634897979,1
1,0.179469803,1,1.228607197,1.432241195,73.44654247,0.751885845,0.751885845,1,0.230451229,0.897749174,1.90993387,1.839124143,98.11713558,0.711013303,0.711013303,0.520762057,0.126247517,0.186543885,0.859707194,1.00743799,30.33002249,0.622380437,0.622380437,0.256754419,0.049860588,0.085636755,0.397937918,0.397890395,6.253048138,0.705783975,0.705783975,0.358707903,0.103188415,0.170395146,0.956410802,0.823502257,9.679845598,0.665439252,0.665439252,0.274161534,0.105420192,0.112017736,0.93297584,0.841294372,16.62619571,0.725077797,0.725077797,0.388384886,0.134634456,0.265502406,1.200235435,1.074432994,71.30190567,0.634821628,0.634821628,0.4720046,0.07319033,0.213421823,0.514191744,0.584076654,74.41715765,0.666707743,0.666707743,2
0.233103149,0.065064726,0.14492732,0.347212335,0.405920907,15.93659344,0.632237046,0.632237046,0.1824445,0.061698972,0.10630927,0.365464529,0.384894943,24.35229066,0.567417783,0.567417783,0.524221059,0.212574379,0.290223008,1.376435644,1.326114113,43.65957636,0.628731177,0.628731177,0.684251221,0.193686811,0.570599794,1.205103039,1.208402296,30.89081084,0.63196977,0.63196977,0.847687189,0.282093715,0.54714657,2.06551865,1.760011978,28.85536227,0.768138683,0.768138683,0.905263573,0.227463519,1,1.28125498,1.419163236,56.52540049,0.703767982,0.703767982,0.659571717,0.140011253,0.41112636,0.799193115,0.873532965,87.01756613,0.66302535,0.66302535,0.404746387,0.099691247,0.317386037,0.559817708,0.621959561,89.48770736,0.654135352,0.654135352,3
0.250379132,0.069661845,0.063969699,0.513184494,0.602208771,54.16534513,0.697005035,0.697005035,0.145130459,0.050355007,0.082561842,0.42289448,0.435280253,38.09603235,0.708174503,0.708174503,0.630477042,0.209451119,0.344125284,1.790097833,1.810555783,83.30624146,0.734216584,0.734216584,0.515454557,0.166870633,0.340550426,1.604130963,1.442620388,65.17566496,0.7525652,0.7525652,0.917096234,0.224118917,1,1.943641236,1.937576123,30.52957345,0.777052674,0.777052674,0.240542348,0.089255133,0.157878224,0.766619724,0.771626761,9.060419685,0.72059162,0.72059162,0.176083149,0.063437405,0.12713861,0.542646868,0.548411806,19.02488252,0.643514841,0.643514841,0.126599935,0.052254465,0.085384507,0.416784402,0.451720115,9.463082903,0.614073099,0.614073099,4
